Title,Year,Rating
195. Dead Poets Society,1989,8.1 (539K)
196. The General,1926,8.1 (97K)
197. The Deer Hunter,1978,8.1 (360K)
198. Wild Tales,2014,8.1 (214K)
199. Mad Max: Fury Road,2015,8.1 (1.1M)
200. Sherlock Jr.,1924,8.2 (56K)
"201. Monsters, Inc.",2001,8.1 (971K)
202. The Third Man,1949,8.1 (181K)
203. Wild Strawberries,1957,8.1 (114K)
204. The Wages of Fear,1953,8.2 (66K)
205. Jaws,1975,8.1 (654K)
206. How to Train Your Dragon,2010,8.1 (793K)
207. Mary and Max,2009,8.1 (186K)
208. Mr. Smith Goes to Washington,1939,8.1 (121K)
209. Ford v Ferrari,2019,8.1 (458K)
210. Ratatouille,2007,8.1 (814K)
211. The Seventh Seal,1957,8.1 (197K)
212. Room,2015,8.1 (447K)
213. The Big Lebowski,1998,8.1 (855K)
214. Tokyo Story,1953,8.1 (68K)
215. Rocky,1976,8.1 (623K)
216. Logan,2017,8.1 (823K)
217. Spotlight,2015,8.1 (499K)
218. Hotel Rwanda,2004,8.1 (370K)
219. Platoon,1986,8.1 (436K)
220. The Terminator,1984,8.1 (917K)
221. The Passion of Joan of Arc,1928,8.1 (60K)
222. Jai Bhim,2021,8.7 (216K)
223. Before Sunset,2004,8.1 (286K)
224. The Best Years of Our Lives,1946,8.1 (70K)
225. La haine,1995,8.1 (194K)
226. The Exorcist,1973,8.1 (451K)
227. Rush,2013,8.1 (509K)
228. Network,1976,8.1 (169K)
229. Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1 (1.2M)
230. Stand by Me,1986,8.1 (438K)
231. The Wizard of Oz,1939,8.1 (426K)
232. The Incredibles,2004,8.0 (801K)
233. Into the Wild,2007,8.1 (654K)
234. Hachi: A Dog's Tale,2009,8.1 (308K)
235. The Handmaiden,2016,8.1 (170K)
236. My Father and My Son,2005,8.2 (92K)
237. To Be or Not to Be,1942,8.1 (42K)
238. The Sound of Music,1965,8.1 (258K)
239. The Grapes of Wrath,1940,8.1 (99K)
240. The Battle of Algiers,1966,8.1 (65K)
241. Groundhog Day,1993,8.0 (680K)
242. Amores Perros,2000,8.1 (252K)
243. Rebecca,1940,8.1 (146K)
244. Cool Hand Luke,1967,8.1 (187K)
245. The Iron Giant,1999,8.1 (224K)
246. The Help,2011,8.1 (489K)
247. It Happened One Night,1934,8.1 (111K)
248. The 400 Blows,1959,8.1 (127K)
249. Aladdin,1992,8.0 (462K)
250. Drishyam,2015,8.2 (93K)
